ID,day,month,year,place of marriage,forename of groom,surname of groom,occupation of groom,marital status of groom,age of groom,address of groom,forename of bride,surname of bride,occupation of bride,marital status of bride,age of bride,address of bride,groom's father's forename,groom's father's surname,groom's father's occupation,if groom's father deceased,groom's mother's forename,groom's mother's maiden surname,if groom's mother deceased,bride's father's forename,bride's father's surname,bride's father's occupation,if bride's father deceased,bride's mother's forename,bride's mother's maiden surname,if bride's mother deceased,notes1,gdeath,bdeath,GROOM_IDENTITY,BRIDE_IDENTITY,GROOM_MOTHER_IDENTITY,GROOM_FATHER_IDENTITY,BRIDE_MOTHER_IDENTITY,BRIDE_FATHER_IDENTITY,GROOM_BIRTH_RECORD_IDENTITY,BRIDE_BIRTH_RECORD_IDENTITY,GROOM_FATHER_BIRTH_RECORD_IDENTITY,GROOM_MOTHER_BIRTH_RECORD_IDENTITY,BRIDE_FATHER_BIRTH_RECORD_IDENTITY,BRIDE_MOTHER_BIRTH_RECORD_IDENTITY,BRIDE_IMMIGRANT_GENERATION,GROOM_IMMIGRANT_GENERATION
3381,12,AUGUST,1856,,Daniel,Mcshane,SCAVENGER,B,36,"1 Hamilton Avenue, Tayport, Fife",Katherine,Hart,N K OUT OF PLACE,W,37,"1 Hamilton Avenue, Tayport, Fife",Darren,Mcshane,RETIRED FARMER,,Kirsten,Anderson,,Kyle,Hart,WOOLEN MANUFACTURER (EMPLOYING 18 MEN & 12 WOMEN),,Shahina,Duncan,,SYNTHETIC DATA PRODUCED USING VALIPOP,10041,9970,10041,9970,6984,6465,7380,7163,10041,9970,6465,6984,7163,7380,NA,NA
3386,19,JUNE,1856,"Aberdeenshire",Max,Schofield,PLOUGHMAN,B,24,"1 Nelson Road, Soroba, Oban",Chantel,Spiers,,D,32,"9 School Park, Highland",Shakeal,Schofield,SUPERNURSERY TIDE WAITER,,Jadesola,Holden,,Sean,Spiers,LAB,,Summer,Berry,,SYNTHETIC DATA PRODUCED USING VALIPOP,11185,10310,11185,10310,8204,8117,7926,7665,11185,10310,8117,8204,7665,7926,NA,NA
3388,30,NOVEMBER,1856,"Meethill Peterhead ",Jack,Martin,AG LAB,B,31,"6 Torrie Wyne, Fife",Holly,Macdonald,,W,26,"60 Ard Struan Road, Highland",Kieran,Martin,FARM LAB,,Hannah,Whiteford,,Jarryd,Macdonald,WHOLESALE STATIONER (5 MEN),,Ebony,Johnson,,SYNTHETIC DATA PRODUCED USING VALIPOP,10381,10968,10381,10968,7422,7063,8348,8579,10381,10968,7063,7422,8579,8348,NA,NA
3402,26,JUNE,1856,"Highland",Cameron,Hawthorne,COACHMAN,B,31,"1 Coronatio Avenue, Borrowfield, Angus",Samantha,Rice,FLAX FACTORY WORKER,S,21,"1 Hislop Gardens, Galalaw, Scottish Borders",Adeel,Hawthorne,LABOURER (AG),,Nicole,Stewart,,Joseph,Rice,RAILWAY LABOURER,,Safiya,Campbell,,SYNTHETIC DATA PRODUCED USING VALIPOP,10407,11570,10407,11570,7698,7751,9714,9079,10407,11570,7751,7698,9079,9714,NA,NA
3403,26,JANUARY,1856,,Ryan,Connelly,GENERAL LABOURER,B,30,"571 Moss Road, Scottish Borders",Maisie,Rice,FLOWERER,S,23,"571 Moss Road, Scottish Borders",Dale,Connelly,LABOURER,,Sara,Wilson,,Matthew,Rice,COACHMAN,,Rhian,Smith,,SYNTHETIC DATA PRODUCED USING VALIPOP,10635,11560,10635,11560,8106,6751,9210,8899,10635,11560,6751,8106,8899,9210,NA,NA
3408,6,DECEMBER,1856,,Kieran,Campbell,BLACKSMITH,B,27,"7 Seafield Crescent, Highland",Victoria,Ferguson,,S,22,"7 Seafield Crescent, Highland",Jacob,Campbell,DOCK LABOURER,,Isabelle,Middleton,,Jack,Ferguson,PLOUGHMAN,,Emma,Menzies,,SYNTHETIC DATA PRODUCED USING VALIPOP,11223,11896,11223,11896,8942,8241,9280,9037,11223,11896,8241,8942,9037,9280,NA,NA
3409,9,JUNE,1856,,Elliott,Anderson,DO IN SHIP BUILDERS OFFICE,B,26,"10 Cora Linn Court, North Ayrshire",Rebecca,White,,S,20,"10 Cora Linn Court, North Ayrshire",Syed,Anderson,FARMER OF 60 ACRES EMPLOYING FOUR SERVANTS,,Paige,Main,,Shane,White,WOOLLEN WEAVER,,Eve,Mackie,,SYNTHETIC DATA PRODUCED USING VALIPOP,11633,12332,11633,12332,8520,8725,8814,8627,11633,12332,8725,8520,8627,8814,NA,NA
3410,29,AUGUST,1857,"Heatherknowe Portlethen ",Antonio,Mclaren,LABOURER CHEMICAL,B,25,"1 Blaven View, Highland",Jessica,Doig,,S,36,"28 St Molios Park, Croc, North Ayrshire",Evan,Mclaren,FARMER OF 20 ACRES,,Beatrice,Clark,,Ben,Doig,JOINER & CARTWRIGHT (MASTER),,Courtney,Paterson,,SYNTHETIC DATA PRODUCED USING VALIPOP,11227,9836,11227,9836,9192,9407,6922,7655,11227,9836,9407,9192,7655,6922,NA,NA
3413,7,MAY,1857,"Aberdeenshire",Ryan,Mcguire,PLOUGHMAN,B,29,"3 Pairc Uilleim, Highland",Charlotte,Green,,S,32,"1 Kinnessburn Terrace, Northbank Farm Steadings, St Andrews",Dominic,Mcguire,NIGHT WATCHMAN,,Carys,Cooney,,Ryan,Green,BUTLER,,April,Murray,,SYNTHETIC DATA PRODUCED USING VALIPOP,10641,10320,10641,10320,8186,8031,8600,7559,10641,10320,8031,8186,7559,8600,NA,NA
3414,7,JUNE,1857,"Argyll and Bute",Jordan,O'connor,,W,33,"10 Cowden Road, Perth and Kinross",Clare,Mullen,HOUSEKEEPING,S,33,"90 Meadow Bank, Moffat, Dumfries and Galloway",Samuel,O'connor,COTTON WINDER,,Bethany,Ferguson,,Matthew,Mullen,RAILWAY LABOURER,,Zhane,Macphail,,SYNTHETIC DATA PRODUCED USING VALIPOP,10425,10264,10425,10264,8098,7289,7080,6725,10425,10264,7289,8098,6725,7080,NA,NA
3416,3,APRIL,1857,,Sam,Mcguire,LABOURER,B,28,"9 Arranton Place, Croc, North Ayrshire",Sara,Hart,,W,31,"9 Arranton Place, Croc, North Ayrshire",Corey,Mcguire,FARMER OF 80 ACRES,,Holly,Wilson,,Samuel,Hart,SHERIFF OFFICER,,Aamina,Wales,,SYNTHETIC DATA PRODUCED USING VALIPOP,11095,10730,11095,10730,8358,7859,8050,6829,11095,10730,7859,8358,6829,8050,NA,NA
3417,13,DECEMBER,1857,"Highland",Christopher,Hawthorne,FARMER'S SON,W,30,"7 Mallard Road, Aberdeenshire",Chantelle,Buchan,COAL MINER WIFE,W,30,"1 MacDonald Road, Glenury, Stonehaven",Joshua,Hawthorne,FISHERMAN,,Elizabeth,Brand,,Shai,Buchan,AG LAB,,Kathleen,Johnstone,,SYNTHETIC DATA PRODUCED USING VALIPOP,10645,10740,10645,10740,8328,7851,8252,8433,10645,10740,7851,8328,8433,8252,NA,NA
3424,25,AUGUST,1857,"Inverbervie Aberdeenshire",Harry,Hutcheson,BOILER MAKER,B,26,"45 Duntaylor Avenue, Aberfeldy, Perth and Kinross",Sonia,Martin,SERVANT,S,25,"3 McBey Way, Aberdeenshire",Joseph,Hutcheson,LABOURER,,Adele,Millar,,Kyle,Martin,AG LAB,,Marnie,White,,SYNTHETIC DATA PRODUCED USING VALIPOP,10949,11096,10949,11096,7846,8109,8418,7943,10949,11096,8109,7846,7943,8418,NA,NA
3427,30,DECEMBER,1857,"South Lanarkshire",Austin,Mackenzie,CONFECTIONER,B,21,"8 Hamilton Terrace, Croc, North Ayrshire",Demi,Watson,COTTON POWER LOOM WEAVER,S,23,"2 Pairc Uilleim, Highland",Peter,Mackenzie,FREE CHURCH MINISTER,,Emily,Lyon,,David,Watson,TANNER,,Rhianna,Ferguson,,SYNTHETIC DATA PRODUCED USING VALIPOP,11741,11436,11741,11436,8634,8729,8884,8587,11741,11436,8729,8634,8587,8884,NA,NA
3432,17,APRIL,1857,,Harry,Donald,PRIVATE SOLDIER 76TH REGT,B,24,"15 Castle Road, Genoch Farm, South Ayrshire",Amna,Johnson,,S,23,"15 Castle Road, Genoch Farm, South Ayrshire",Reece,Donald,BLACK SMITH DUMB,,Elle,Sutherland,,Sebastian,Johnson,SHOE MAKER,,Elizabeth,Macphail,,SYNTHETIC DATA PRODUCED USING VALIPOP,11549,11642,11549,11642,8834,8385,8710,8937,11549,11642,8385,8834,8937,8710,NA,NA
3435,14,SEPTEMBER,1857,"Cove Bay Aberdeen City",Keval,Robb,SCHOLAR,B,19,"1 Fank Brae, Highland",Imogen,Laing,,S,21,"2 Strath View, Highland",Jake,Robb,COAL SALESMAN,,Alice,Keir,,Benjamin,Laing,BREWERY LABOURER,,Maariyah,Kerr,,SYNTHETIC DATA PRODUCED USING VALIPOP,11857,11654,11857,11654,8628,8621,9036,9107,11857,11654,8621,8628,9107,9036,NA,NA
3437,18,MAY,1857,"Causewayhead Stirling",Benjamin,Logan,JUTE MANUFAR CLERK,B,26,"20 St Molios Park, Croc, North Ayrshire",Kate,Wilson,DRSS MAKER,S,20,"2 Radernie Place, Northbank Farm Steadings, Fife",Patrick,Logan,FARM MANAGER,,Iysha,Young,,Lewis,Wilson,CARTER,,Esther,Logan,,SYNTHETIC DATA PRODUCED USING VALIPOP,10937,11624,10937,11624,7716,7389,8190,8325,10937,11624,7389,7716,8325,8190,NA,NA
3438,23,DECEMBER,1857,"Scaurs Jedburgh ",Cameron,Sutherland,FARM SERVANT,B,28,"3 Rowan Road, Soroba, Oban",Honour,Saunders,DOMESTIC SERVANT,S,21,"2 Cora Linn Court, North Ayrshire",Stephen,Sutherland,FARMER OF 280 ACRES EMP 5 P MEN,,Charlie,Thomson,,Oliver,Saunders,WOOL FACTORY WORKER,,Francesca,Browning,,SYNTHETIC DATA PRODUCED USING VALIPOP,10803,11648,10803,11648,7366,7619,8838,7929,10803,11648,7619,7366,7929,8838,NA,NA
3439,3,OCTOBER,1857,"Heatherknowe Portlethen ",Scott,Laing,SCHOLAR,B,17,"2 Strath View, Highland",Kimberley,Spiers,SCHOLAR,S,19,"1 Cruachan Crescent, Soroba, Oban",Benjamin,Laing,BREWERY LABOURER,,Maariyah,Kerr,,Bill,Spiers,QUARRYMAN,,Ashleigh,Jordan,,SYNTHETIC DATA PRODUCED USING VALIPOP,12223,11984,12223,11984,9036,9107,8824,8235,12223,11984,9107,9036,8235,8824,NA,NA
3441,22,MARCH,1857,,Robert,Wilson,LABOURER AG LAB,B,25,"2 Ceann An Ora, Na h-Eileanan Siar",Harriet,Keir,SCHOLAR,S,17,"2 Ceann An Ora, Na h-Eileanan Siar",Eliot,Wilson,LIBRARIAN,,Amy,Andrews,,Liam,Keir,SAWYER,,Marina,Kelman,,SYNTHETIC DATA PRODUCED USING VALIPOP,11653,12438,11653,12438,8944,7835,8782,8441,11653,12438,7835,8944,8441,8782,NA,NA
3442,10,JULY,1858,,William,Duncan,PORTER FOR SPIRIT MERCHANT,B,26,"1 Mansefield, Auchreoch, Stirling",Samantha,Patterson,GROCER,W,41,"1 Mansefield, Auchreoch, Stirling",Luke,Duncan,PLASTERER,,Laura,Craig,,Junaid,Patterson,PLOUGHMAN,,Bianca,Smart,,SYNTHETIC DATA PRODUCED USING VALIPOP,11403,9758,11403,9758,8384,7911,7414,7059,11403,9758,7911,8384,7059,7414,NA,NA
3443,16,OCTOBER,1858,"Croc North Ayrshire",Michael,Kerr,BLEACHER,B,32,"14 The Croft, The Holmes, Scottish Borders",Jesse,Syme,TABLE MAID,S,38,"4 Greenside Park, The Holmes, Scottish Borders",Henry,Kerr,WOOD SAWYER,,Elif,Logan,,Richard,Syme,TOBACCO PIPE MAKER,,Richelle,Hay,,SYNTHETIC DATA PRODUCED USING VALIPOP,10475,9864,10475,9864,7110,7535,7338,6347,10475,9864,7535,7110,6347,7338,NA,NA
3444,2,MARCH,1858,"Braeleny Farm Stirling",Thomas,Mccormick,FISHERMAN,W,39,"1 High Street, Ardtonish, Highland",Sabeen,Clark,SEWER OF MUSLIN,S,35,"237 The Paddock, East Lothian",Steven,Mccormick,LABOURER,,Chloe,Logan,,Connor,Clark,FARMER'S SON,,Jemma,Mcclure,,SYNTHETIC DATA PRODUCED USING VALIPOP,9857,10282,9857,10282,7268,6147,7358,7285,9857,10282,6147,7268,7285,7358,NA,NA
3445,1,MAY,1858,"Kingennie House Angus",Samuel,Petrie,CROFTER OF 4 ACRES OF LAND,B,38,"7 Robertson Way, Braeleny Farm, Stirling",Bethany,Doig,,S,33,"3 West Park, Moffat, Dumfries and Galloway",Oliver,Petrie,AG LAB,,Sian,Young,,Dominic,Doig,SPIRIT MERCHANT,,Lucy,Muir,,SYNTHETIC DATA PRODUCED USING VALIPOP,9643,10312,9643,10312,7272,7189,7912,7927,9643,10312,7189,7272,7927,7912,NA,NA
3446,27,MARCH,1858,"Highland",Bradley,Green,DEALER,B,26,"1 Cruden Terrace, Auld Toon, Stonehaven",Charlotte,Garland,,S,32,"1 Clashfarquhar Crescent, Heatherknowe, Portlethen",William,Green,FISHERMAN,,Jennifer,Sinclair,,Daniel,Garland,SPINDLE MAKER,,Katie,Johnstone,,SYNTHETIC DATA PRODUCED USING VALIPOP,11069,10380,11069,10380,7922,7843,7472,7615,11069,10380,7843,7922,7615,7472,NA,NA
3447,9,OCTOBER,1858,"Croc North Ayrshire",Wayne,Neill,COAL MINER,B,31,"4 Inverugie Cottages, Coplandhill, Aberdeenshire",Lucy,Porter,MINERS WIFE,S,32,"17 The Croft, The Holmes, Scottish Borders",Brandon,Neill,AG LAB,,Hebe,Forbes,,Benjamin,Porter,BUTCHER,,Jodie,Thomson,,SYNTHETIC DATA PRODUCED USING VALIPOP,10411,10420,10411,10420,7822,7625,8086,8251,10411,10420,7625,7822,8251,8086,NA,NA
3449,12,MAY,1858,"Portree Highland",Benjamin,Broadfoot,BLAST FURNACE FILLER,W,35,"3 Heath Drive, Meethill, Peterhead",Alexandra,Clark,,S,32,"1 Braehead Crescent, Auld Toon, Stonehaven",Kieron,Broadfoot,FORMERLY RAILW LAB-NOW A VAGRANT,,Jade,Wood,,Adrian,Clark,BUILDER (MASON),,Samantha,Mccue,,SYNTHETIC DATA PRODUCED USING VALIPOP,10047,10388,10047,10388,7082,6607,7482,6925,10047,10388,6607,7082,6925,7482,NA,NA
3450,19,JUNE,1858,"Coplandhill Aberdeenshire",Adam,Aitken,SHEPHERD,B,39,"1 Murray Square, Highland",Nazia,Innes,,S,31,"3 McGregors Walk, Warddykes, Arbroath",Rhys,Aitken,MASON,,Charis,Melville,,Adam,Innes,FISHERMAN,,Chelsea,Smith,,SYNTHETIC DATA PRODUCED USING VALIPOP,9553,10372,9553,10372,7276,7171,7290,6999,9553,10372,7171,7276,6999,7290,NA,NA
3451,13,JANUARY,1858,"South Ayrshire",Jawaad,Haig,PLOUGHMAN,B,27,"2 Monteath Street, Crieff, Perth and Kinross",Demilee,Cochrane,,D,29,"4 Hartrigge Crescent, Scaurs, Scottish Borders",Jason,Haig,WOOLLEN WEAVER,,Leoni,Ferguson,,Conor,Cochrane,PLOUGHMAN,,Sofia,Smith,,SYNTHETIC DATA PRODUCED USING VALIPOP,10841,10634,10841,10634,8076,8007,8134,7933,10841,10634,8007,8076,7933,8134,NA,NA
3452,12,APRIL,1858,"Perth and Kinross",Joshua,Keir,CLERK,B,22,"1 Struan Place, Woodhaven, Newport-on-Tay",Sophie,Hobson,AGRICULTURAL OUT WORKER,S,26,"3 Janefield Rise, Allanbank, Lauder",Joshua,Keir,MANAGER OF HAILES QUARRY,,Malka,Jordan,,Jonah,Hobson,PLOUGHMAN,,Lucie,Clark,,SYNTHETIC DATA PRODUCED USING VALIPOP,11407,10932,11407,10932,8428,7939,7628,7825,11407,10932,7939,8428,7825,7628,NA,NA
3453,5,JULY,1858,"Croc North Ayrshire",Joe,Schofield,GROOM & GARDENER,B,30,"1 Nelson Road, Soroba, Oban",Claudia,Clark,FARM LABOURER,S,28,"107 Brunton Park, Manse, Scottish Borders",Shakeal,Schofield,SUPERNURSERY TIDE WAITER,,Jadesola,Holden,,Jack,Clark,AG LAB,,Jennifer,Muir,,SYNTHETIC DATA PRODUCED USING VALIPOP,10851,10944,10851,10944,8204,8117,7744,7291,10851,10944,8117,8204,7291,7744,NA,NA
3454,5,MARCH,1858,"Genoch Farm South Ayrshire",Conor,Johnstone,PLOUGHMAN,B,25,"6 Arranton Place, Croc, North Ayrshire",Linda,Mcnab,MILLINER,D,27,"8 Cherry Bank, Southfield, Scottish Borders",Jack,Johnstone,BRICKMAKER,,Abby,Macphail,,Jordan,Mcnab,STONE MASON,,Olivia,Fleming,,SYNTHETIC DATA PRODUCED USING VALIPOP,11169,10986,11169,10986,7948,7169,8590,8537,11169,10986,7169,7948,8537,8590,NA,NA
3456,22,SEPTEMBER,1858,"Auld Toon Stonehaven ",Mohammed,Mcguire,GAMEKEEPER,B,28,"1 Argyll Cottages, Highland",Megan,Mcnab,HOUSEMAID,S,25,"569 Rathad an Duin, Na h-Eileanan Siar",George,Mcguire,COAL MINER,,Alanna,Kelman,,Jordan,Mcnab,AG LAB,,Olivia,Fleming,,SYNTHETIC DATA PRODUCED USING VALIPOP,10863,11214,10863,11214,8326,7757,8590,8537,10863,11214,7757,8326,8537,8590,NA,NA
3457,24,JANUARY,1858,"Annan Dumfries and Galloway",Hamza,Cooney,BLACKSMITH,B,33,"1 Fairhurst Road, Stranraer, Dumfries and Galloway",Alex,Begg,,S,25,"7 Castle Road, Genoch Farm, South Ayrshire",Ryan,Cooney,LABOURER,,Amy,Innes,,Charlie,Begg,SHOEMAKER,,Hayleigh,Wood,,SYNTHETIC DATA PRODUCED USING VALIPOP,10283,11146,10283,11146,7382,6613,7488,7449,10283,11146,6613,7382,7449,7488,NA,NA
3458,29,DECEMBER,1858,,Jack,Connelly,COLLIER,B,23,"68 Greystone Place, Aberdeenshire",Nadine,Smith,GOVERNESS,S,27,"68 Greystone Place, Aberdeenshire",Dale,Connelly,LABOURER,,Sara,Wilson,,Jack,Smith,FARMER OF 67 ACRES,,Lisa,Mcguire,,SYNTHETIC DATA PRODUCED USING VALIPOP,11831,11390,11831,11390,8106,6751,8126,7723,11831,11390,6751,8106,7723,8126,NA,NA
3459,21,FEBRUARY,1858,"Croc North Ayrshire",Daniel,Bull,TIN SMITH,B,24,"1 Craigerne Drive, Kingsmuir, Peebles",Katie,Mcguire,FLAX CARDER,S,24,"43 Ard Struan Road, Highland",Mohammed,Bull,H L WEAVER (MIXED FABRICS) & GROCER,,Daire,Mclaughlin,,Joseph,Mcguire,PORTER IN COTTON FACTORY,,Lydia,Webb,,SYNTHETIC DATA PRODUCED USING VALIPOP,11389,11414,11389,11414,8022,8043,8504,8349,11389,11414,8043,8022,8349,8504,NA,NA
3461,15,MAY,1858,"Highland",Joseph,Paterson,SCHOLAR,B,16,"7 The Croft, The Holmes, Scottish Borders",Kelsey,Aitchison,,S,24,"62 Northfield Gardens, Aberdeenshire",Jack,Paterson,GARDNER,,Laura,Murray,,Frederick,Aitchison,CLOTHIER EMPLOYING 2 MEN,,Shannon,Murray,,SYNTHETIC DATA PRODUCED USING VALIPOP,12473,11544,12473,11544,9314,9087,8790,8531,12473,11544,9087,9314,8531,8790,NA,NA
3462,18,NOVEMBER,1858,"The Holmes Scottish Borders",Charles,Logan,SCHOLAR,B,16,"1 East Park Drive, East Ayrshire",Eleanor,Hay,WEAVERS DAUGHTER,S,25,"45 Ard Struan Road, Highland",Khalid,Logan,SLATER,,Chelsea,Hobson,,Jack,Hay,LABOURER,,Kimberley,Mcguire,,SYNTHETIC DATA PRODUCED USING VALIPOP,12621,11548,12621,11548,10084,10171,8818,9035,12621,11548,10171,10084,9035,8818,NA,NA
3463,30,OCTOBER,1858,"West End Hawick ",Tyler,Rice,,B,18,"16 Castle Road, Genoch Farm, South Ayrshire",Sky,Webster,DOMESTIC SERV,S,21,"1 Carsie Road, Perth and Kinross",Matthew,Rice,COACHMAN,,Rhian,Smith,,James,Webster,AG LAB,,Jade,Donald,,SYNTHETIC DATA PRODUCED USING VALIPOP,11887,11550,11887,11550,9210,8899,8774,9011,11887,11550,8899,9210,9011,8774,NA,NA
3464,23,OCTOBER,1858,"Aberdeenshire",Joshua,Fell,PLOUGHMAN,B,20,"1 Laverock Hill, Ellon, Aberdeenshire",Mollie,Buchan,DOMESTIC SERVANT,S,22,"3 Quoybrae, Orkney Islands",Connor,Fell,LABOURER GENL,,Shauna,Mckillop,,Shai,Buchan,AG LAB,,Kathleen,Johnstone,,SYNTHETIC DATA PRODUCED USING VALIPOP,11787,11500,11787,11500,9438,8221,8252,8433,11787,11500,8221,9438,8433,8252,NA,NA
3466,20,MARCH,1858,"Ellon Aberdeenshire",Zachary,Hutcheson,,B,22,"1 Elder Street, Belhaven, East Lothian",Stephanie,Logan,,S,21,"3 School Park, Highland",Andrew,Hutcheson,LINEN WEAVER,,Savannah,Smith,,Mohammed,Logan,SILK WEAVER,,Eleanor,Holmes,,SYNTHETIC DATA PRODUCED USING VALIPOP,11381,11492,11381,11492,7936,7571,8120,7621,11381,11492,7571,7936,7621,8120,NA,NA
3467,7,MAY,1858,"Croc North Ayrshire",Patrick,Syme,COAL MINER,B,24,"9 Orchard Park, Lessudden House, Scottish Borders",Kira,Clark,,S,21,"6 The Croft, The Holmes, Scottish Borders",Addison,Syme,FARMER OF 70 ACRES EMPLOYING 1 LAB,,Evangelina,Riddell,,Rhys,Clark,TOBACONEST,,Melissa,Broadfoot,,SYNTHETIC DATA PRODUCED USING VALIPOP,11175,11490,11175,11490,7906,7475,8032,7367,11175,11490,7475,7906,7367,8032,NA,NA
