ID,family,marriage,child's forname(s),child's surname,birth day,birth month,birth year,address,sex,father's forename,father's surname,father's occupation,mother's forename,mother's maiden surname,mother's occupation,day of parents' marriage,month of parents' marriage,year of parents' marriage,place of parent's marriage,illegit,notes,Death,CHILD_IDENTITY,MOTHER_IDENTITY,FATHER_IDENTITY,DEATH_RECORD_IDENTITY,PARENT_MARRIAGE_RECORD_IDENTITY,FATHER_BIRTH_RECORD_IDENTITY,MOTHER_BIRTH_RECORD_IDENTITY,MARRIAGE_RECORD_IDENTITY1,MARRIAGE_RECORD_IDENTITY2,MARRIAGE_RECORD_IDENTITY3,MARRIAGE_RECORD_IDENTITY4,MARRIAGE_RECORD_IDENTITY5,MARRIAGE_RECORD_IDENTITY6,MARRIAGE_RECORD_IDENTITY7,MARRIAGE_RECORD_IDENTITY8,IMMIGRANT_GENERATION
5602,954,954,Eleanor,Waugh,15,JANUARY,1773,"1 Ancaster Road, Drumardoch Farm, Callander",F,Paul,Waugh,COMPOSITOR,Saffron,Murray,,16,FEBRUARY,1764,"Drumardoch Farm Callander ",,SYNTHETIC DATA PRODUCED USING VALIPOP,5602,5602,3298,3381,5602,954,3381,3298,1608,,,,,,,,NA
5642,1109,1109,Amy,Campbell,13,MAY,1773,"1 Damdale, Kingsmuir, Peebles",F,Alex,Campbell,COAL MINER,Eden,Whiteford,,28,OCTOBER,1770,"Kingsmuir Peebles ",,SYNTHETIC DATA PRODUCED USING VALIPOP,5642,5642,3878,3099,5642,1109,3099,3878,1609,,,,,,,,NA
5686,913,913,Emily,Pollock,11,OCTOBER,1774,"1 Glasdrum Court, Upper Achintore, Fort William",F,George,Pollock,COAL MINER,Kenna,Jordan,,31,DECEMBER,1762,"Upper Achintore Fort William ",,SYNTHETIC DATA PRODUCED USING VALIPOP,5686,5686,3104,3047,5686,913,3047,3104,1655,,,,,,,,NA
5690,912,912,Samantha,Aitkenhead,19,AUGUST,1774,"1 Muir Gardens, Northbank Farm Steadings, Fife",F,Ryan,Aitkenhead,LAB,Aine,Millar,,24,AUGUST,1760,"Northbank Farm Steadings Fife",,SYNTHETIC DATA PRODUCED USING VALIPOP,5690,5690,3090,2823,5690,912,2823,3090,1544,1845,,,,,,,NA
5728,1130,1130,Syeda,Hart,16,MARCH,1774,"1589 Castle Road, South Ayrshire",F,Henry,Hart,SHOPMAN SAD TRADE,Rebekka,Malik,AG LAB,20,MAY,1771,"South Ayrshire",,SYNTHETIC DATA PRODUCED USING VALIPOP,5728,5728,3910,3587,5728,1130,3587,3910,1566,,,,,,,,NA
5768,999,999,Shannon,Johnstone,31,OCTOBER,1775,"2 Smithy Croft, Allanbank, Lauder",F,Carl,Johnstone,BOOTMAKER,Georgia,Currie,,8,APRIL,1766,"Allanbank Lauder ",,SYNTHETIC DATA PRODUCED USING VALIPOP,5768,5768,3392,2907,5768,999,2907,3392,1749,,,,,,,,NA
5782,863,863,Elizabeth,Gowans,13,SEPTEMBER,1775,"2 Scorrybreac Road, Portree, Highland",F,Joseph,Gowans,SHIP CARPENTER,Maria,Waugh,HOUSE KEEPER,9,SEPTEMBER,1761,"Portree Highland",,SYNTHETIC DATA PRODUCED USING VALIPOP,5782,5782,3500,2977,5782,863,2977,3500,1729,,,,,,,,NA
5808,1143,1143,Sophie,Hassan,9,MAY,1775,"4 Seafield Crescent, Highland",F,Michael,Hassan,AG LAB,Charlotte,Kerr,MILLINER,2,MAY,1772,"Highland",,SYNTHETIC DATA PRODUCED USING VALIPOP,5808,5808,3872,3375,5808,1143,3375,3872,1636,,,,,,,,NA
5754,818,818,Emma,Sutherland,23,DECEMBER,1775,"2 Dal nan Each, Highland",F,Benjamin,Sutherland,PLOUGHMAN,Kirsty,Murray,,1,MAY,1756,"Highland",,SYNTHETIC DATA PRODUCED USING VALIPOP,5754,5754,3046,2713,5754,818,2713,3046,1591,1870,,,,,,,NA
5818,1130,1130,Carla,Hart,8,JANUARY,1775,"1589 Castle Road, South Ayrshire",F,Henry,Hart,SHOPMAN SAD TRADE,Rebekka,Malik,AG LAB,20,MAY,1771,"South Ayrshire",,SYNTHETIC DATA PRODUCED USING VALIPOP,5818,5818,3910,3587,5818,1130,3587,3910,1592,,,,,,,,NA
5814,1028,1028,Georgia,Keddie,22,MAY,1775,"1 Prestonfield Road, Annan, Dumfries and Galloway",F,Kieran,Keddie,JOINER (APP),Tayla,Cooney,DOMESTIC SERVANT,25,JANUARY,1767,"Annan Dumfries and Galloway",,SYNTHETIC DATA PRODUCED USING VALIPOP,5814,5814,3870,3691,5814,1028,3691,3870,1637,1958,,,,,,,NA
5762,882,882,Samya,Brown,15,DECEMBER,1775,"7 Calfward Park, Allanbank, Lauder",F,Oliver,Brown,MINISTER ALEX FREE CHURCH,Katie,Mcclure,WARPERS WIFE,10,OCTOBER,1763,,illegitimate,SYNTHETIC DATA PRODUCED USING VALIPOP,5762,5762,3212,2133,5762,882,2133,3212,1657,2159,,,,,,,NA
5772,996,996,Cherie,Malik,6,FEBRUARY,1775,"1 Braeview, South Broomage, Stenhousemuir",F,Henry,Malik,MATE,Danielle,Fell,BLEACHER,15,NOVEMBER,1764,"South Broomage Stenhousemuir ",,SYNTHETIC DATA PRODUCED USING VALIPOP,5772,5772,3378,3391,5772,996,3391,3378,1635,1900,,,,,,,NA
6020,861,861,Paige,Smith,10,JULY,1778,"45 Ard Struan Road, Highland",F,Matthew,Smith,MINISTER OF ESTABLISHD CHURCH,Carrie,Hawthorne,,7,SEPTEMBER,1758,"Highland",,SYNTHETIC DATA PRODUCED USING VALIPOP,6020,6020,3280,3149,6020,861,3149,3280,1615,,,,,,,,NA
6036,1049,1049,Asha,Webster,1,SEPTEMBER,1778,"1 Hestan Road, Little Richorn, Dalbeattie",F,Sebastian,Webster,MILLER,Emily,Scott,,23,NOVEMBER,1767,"Little Richorn Dalbeattie ",,SYNTHETIC DATA PRODUCED USING VALIPOP,6036,6036,3646,3063,6036,1049,3063,3646,1734,,,,,,,,NA
6052,1083,1083,Scarlett,Webb,4,OCTOBER,1778,"4 Leideag, Na h-Eileanan Siar",F,Benjamin,Webb,COTTON SPINNER,Clare,Sproat,FISHERWOMAN,26,JULY,1769,"Na h-Eileanan Siar",,SYNTHETIC DATA PRODUCED USING VALIPOP,6052,6052,3934,3653,6052,1083,3653,3934,1829,,,,,,,,NA
6058,1216,1216,Charlotte,Taylor,9,FEBRUARY,1778,"3 Allanbank Gardens, Allanbank, Lauder",F,Reece,Taylor,ENGINE SMITH,Bethany,Murray,,19,SEPTEMBER,1779,,illegitimate,SYNTHETIC DATA PRODUCED USING VALIPOP,6058,6058,4094,3945,6058,1216,3945,4094,1782,,,,,,,,NA
6066,1219,1219,Hannah,O'donnell,1,SEPTEMBER,1778,"15 St Molios Park, Croc, North Ayrshire",F,Arslaan,O'donnell,,Lucy,Smith,SHOP WOMAN,14,DECEMBER,1774,"Croc North Ayrshire",,SYNTHETIC DATA PRODUCED USING VALIPOP,6066,6066,4300,4073,6066,1219,4073,4300,1735,,,,,,,,NA
6040,1161,1161,Alice,Davidson,4,MARCH,1778,"3 Milton Wynd, South Ayrshire",F,Nathan,Davidson,WAREHOUSEMAN,Bethany,Kelman,DOMESTIC SERVANT,18,JUNE,1773,"South Ayrshire",,SYNTHETIC DATA PRODUCED USING VALIPOP,6040,6040,3806,3807,6040,1161,3807,3806,1733,,,,,,,,NA
6056,1214,1214,Ellesha,Brown,15,FEBRUARY,1778,"14 St Molios Park, Croc, North Ayrshire",F,Charlie,Brown,SEAMAN,Eleanor,Macphail,COTTON WEAVER,29,SEPTEMBER,1775,"Croc North Ayrshire",,SYNTHETIC DATA PRODUCED USING VALIPOP,6056,6056,4074,4009,6056,1214,4009,4074,1708,1805,,,,,,,NA
6024,961,961,Alice,Macfarlane,21,DECEMBER,1778,"1 Firs Crescent, Hillpark, Bannockburn",F,Jack,Macfarlane,CARTER,Vanessa,Dalgarno,,15,OCTOBER,1763,"Hillpark Bannockburn ",,SYNTHETIC DATA PRODUCED USING VALIPOP,6024,6024,3506,3033,6024,961,3033,3506,1707,,,,,,,,NA
6028,1204,,Abigail,Cooney,4,APRIL,1778,,F,Jamie,Cooney,MASON,Olivia,Davies,DRESS MAKER,,,,,illegitimate,SYNTHETIC DATA PRODUCED USING VALIPOP,6028,6028,3588,3457,6028,,3457,3588,1661,,,,,,,,NA
6130,1230,1230,Venessa,Beaton,5,APRIL,1779,"1 Mansefield, Auchreoch, Stirling",F,Josh,Beaton,SCHOLAR,Syed,Brand,STEAM LOOM WEAVER,25,JANUARY,1777,"Auchreoch Stirling",,SYNTHETIC DATA PRODUCED USING VALIPOP,6130,6130,4228,4513,6130,1230,4513,4228,1926,,,,,,,,NA
6100,1021,1021,Louise,Watson,11,FEBRUARY,1779,"1 Kilnford Drive, South Ayrshire",F,James,Watson,IRON TURNER,Hayley,Rimmer,,27,MAY,1766,"South Ayrshire",,SYNTHETIC DATA PRODUCED USING VALIPOP,6100,6100,3582,3399,6100,1021,3399,3582,1850,2100,,,,,,,NA
6098,1020,1020,Shaney,Hutcheson,15,NOVEMBER,1779,"1 Napierston Road, West Dunbartonshire",F,Richard,Hutcheson,BAKER JOURNEYMAN,Hannah,Murphy,,23,NOVEMBER,1766,"West Dunbartonshire",,SYNTHETIC DATA PRODUCED USING VALIPOP,6098,6098,3594,3489,6098,1020,3489,3594,1785,,,,,,,,NA
6178,1241,1241,Katie,Holmes,27,NOVEMBER,1780,"62 The Gardens, East Lothian",F,Jamie,Holmes,JOINER APP,Vanessa,Dalgarno,,29,SEPTEMBER,1779,"East Lothian",,SYNTHETIC DATA PRODUCED USING VALIPOP,6178,6178,3506,4077,6178,1241,4077,3506,1812,,,,,,,,NA
6182,1242,1242,Sophie,Bond,21,MAY,1780,"2 Bellhouse Road, Fife",F,Callum,Bond,IRONSTONE MINER,Alexandra,Davidson,,5,FEBRUARY,1777,"Fife",,SYNTHETIC DATA PRODUCED USING VALIPOP,6182,6182,3658,3709,6182,1242,3709,3658,2102,,,,,,,,NA
6186,1049,1049,Susanna,Webster,4,JUNE,1780,"1 Hestan Road, Little Richorn, Dalbeattie",F,Sebastian,Webster,FUND HOLDER,Emily,Scott,,23,NOVEMBER,1767,"Little Richorn Dalbeattie ",,SYNTHETIC DATA PRODUCED USING VALIPOP,6186,6186,3646,3063,6186,1049,3063,3646,1830,,,,,,,,NA
6226,1258,1258,Charlotte,Fraser,18,DECEMBER,1780,"1 Ythan Place, Ellon, Aberdeenshire",F,Jack,Fraser,COAL LABOURER,Emily,Perry,,4,OCTOBER,1778,"Ellon Aberdeenshire",,SYNTHETIC DATA PRODUCED USING VALIPOP,6226,6226,4524,4127,6226,1258,4127,4524,1808,,,,,,,,NA
6220,1253,1253,Sioned,Dalgarno,6,MAY,1780,"12 Glencraig Place, Croc, North Ayrshire",F,Kieron,Dalgarno,AG LAB,Samantha,Brown,,30,AUGUST,1776,"Croc North Ayrshire",,SYNTHETIC DATA PRODUCED USING VALIPOP,6220,6220,4276,3849,6220,1253,3849,4276,1809,1909,,,,,,,NA
6192,1079,1079,Charlotte,Porter,25,MAY,1780,"1 Dunlop Terrace, Maybole, South Ayrshire",F,Steven,Porter,,Skye,Hutcheson,CARTER'S WIFE,18,OCTOBER,1770,"Maybole South Ayrshire",,SYNTHETIC DATA PRODUCED USING VALIPOP,6192,6192,3694,4025,6192,1079,4025,3694,1810,,,,,,,,NA
6222,1114,1114,Isabelle,Mcguire,14,AUGUST,1780,"1 Mill Way, Brora, Highland",F,Regan,Mcguire,IRONSTONE MINER,Melissa,Jamieson,DOMESTIC SERV,12,JUNE,1773,"Brora Highland",,SYNTHETIC DATA PRODUCED USING VALIPOP,6222,6222,4342,3867,6222,1114,3867,4342,1811,1877,,,,,,,NA
6210,1217,1217,Lucy,Laing,1,AUGUST,1780,"1 Broompark Terrace, Perth and Kinross",F,Spencer,Laing,TAILOR,Rebecca,Webber,,18,AUGUST,1775,"Perth and Kinross",,SYNTHETIC DATA PRODUCED USING VALIPOP,6210,6210,4072,3997,6210,1217,3997,4072,1807,,,,,,,,NA
6196,979,979,Julia,Murray,13,AUGUST,1780,"9 St Molios Park, Croc, North Ayrshire",F,Benjamin,Murray,LABOROR,Charley,Reid,BLEACHER,11,OCTOBER,1766,"Croc North Ayrshire",,SYNTHETIC DATA PRODUCED USING VALIPOP,6196,6196,3814,3485,6196,979,3485,3814,1813,1851,,,,,,,NA
6284,1193,1193,Natalie,Mackenzie,5,JANUARY,1781,"1 Ladylands Drive, Glenburn Hall, Jedburgh",F,Mohammed,Mackenzie,LABOURER,Katherine,Ramsay,DOMESTIC SERVANT,12,FEBRUARY,1775,"Glenburn Hall Jedburgh ",,SYNTHETIC DATA PRODUCED USING VALIPOP,6284,6284,3994,4285,6284,1193,4285,3994,1789,,,,,,,,NA
6296,1053,1053,Suzannah,Fleming,26,JULY,1781,"8 Glencraig Place, Croc, North Ayrshire",F,Babajide,Fleming,AG LAB,Sadiyya,Smith,DAIRYMAID,23,MARCH,1773,,,SYNTHETIC DATA PRODUCED USING VALIPOP,6296,6296,4162,2897,6296,1053,2897,4162,1791,,,,,,,,NA
6300,1150,1150,Ayomide,Hay,7,APRIL,1781,"13 Kinneil Park, Croc, North Ayrshire",F,Dominic,Hay,CHINTZ GLAZIER JOUR,Chelsea,Breen,OUT DOOR WORKER,14,MARCH,1772,"Croc North Ayrshire",,SYNTHETIC DATA PRODUCED USING VALIPOP,6300,6300,4224,4079,6300,1150,4079,4224,1759,,,,,,,,NA
6302,1235,1235,Danni,Mcshane,7,SEPTEMBER,1781,"4 Cora Linn Court, North Ayrshire",F,Mohsan,Mcshane,PLOUGHMAN,Kelsey,Breen,,30,MARCH,1775,"North Ayrshire",,SYNTHETIC DATA PRODUCED USING VALIPOP,6302,6302,4274,4091,6302,1235,4091,4274,1878,2052,,,,,,,NA
6304,1233,1233,Imogen,Stuart,3,APRIL,1781,"65 Honeyfield Drive, Scaurs, Jedburgh",F,Vincent,Stuart,SHOEMAKER (AP),Rochelle,Mclaren,,9,MAY,1777,"Scaurs Jedburgh ",,SYNTHETIC DATA PRODUCED USING VALIPOP,6304,6304,4282,4283,6304,1233,4283,4282,1852,,,,,,,,NA
6310,1259,1259,Lisa,Johnson,2,FEBRUARY,1781,"38 Gordon Brown Place, Highland",F,Karl,Johnson,RAILWAY GUARD (GOODS),Natalie,Burns,DOMESTIC SERVANT,15,APRIL,1776,"Highland",,SYNTHETIC DATA PRODUCED USING VALIPOP,6310,6310,4530,4083,6310,1259,4083,4530,1855,2359,,,,,,,NA
6314,1199,1199,Rebecca,Howie,1,MAY,1781,"3 Strand Court, Auchterarder, Perth and Kinross",F,Corey,Howie,CLERK (BUILDERS,Rebecca,Mccluskey,DOMESTIC SERV,19,JANUARY,1777,"Auchterarder Perth and Kinross",,SYNTHETIC DATA PRODUCED USING VALIPOP,6314,6314,4594,4347,6314,1199,4347,4594,1881,,,,,,,,NA
6288,1270,1270,Tamara,Davies,18,NOVEMBER,1781,"7 Orchard Park, Lessudden House, Scottish Borders",F,Harry,Davies,WRIGHT & FARMER OF 12 ACR,Jodie,Brand,DOMESTIC SERV,25,NOVEMBER,1779,"Lessudden House Scottish Borders",,SYNTHETIC DATA PRODUCED USING VALIPOP,6288,6288,4084,3323,6288,1270,3323,4084,1834,1961,,,,,,,NA
6294,1272,1272,Sarah,Ramsay,27,FEBRUARY,1781,"3 Athol Court, Scaurs, Jedburgh",F,Daniel,Ramsay,COAL MINER,Briana,Edwards,BOLT SCREWER,24,FEBRUARY,1779,"Scaurs Jedburgh ",,SYNTHETIC DATA PRODUCED USING VALIPOP,6294,6294,4168,3993,6294,1272,3993,4168,1831,,,,,,,,NA
6282,1084,1084,Rebekah,Davies,8,SEPTEMBER,1781,"206 Newton Crescent, Batties Den, Carnoustie",F,Jamie,Davies,SAWYER,Jordan,Currie,COTTON FACTORY WORKER,21,OCTOBER,1769,"Batties Den Carnoustie ",,SYNTHETIC DATA PRODUCED USING VALIPOP,6282,6282,3916,3517,6282,1084,3517,3916,1790,2105,2239,,,,,,NA
6390,1305,1305,Paige,Ramsay,3,MARCH,1782,"1 South Hermitage Street, Scottish Borders",F,Ross,Ramsay,HOTEL KEEPER,Billie-jo,Wood,,2,MARCH,1790,,illegitimate,SYNTHETIC DATA PRODUCED USING VALIPOP,6390,6390,4492,3861,6390,1305,3861,4492,1935,,,,,,,,NA
6352,1068,1068,Mariah,Aitchison,15,DECEMBER,1782,"3 Peebles Place, Upper Achintore, Fort William",F,Shaun,Aitchison,FISHERMAN,Alexia,Holmes,PLOUGHMAN'S WIFE,30,APRIL,1768,"Upper Achintore Fort William ",,SYNTHETIC DATA PRODUCED USING VALIPOP,6352,6352,3876,3385,6352,1068,3385,3876,1929,,,,,,,,NA
6344,1207,1207,Amelia,Hogg,23,FEBRUARY,1782,"2 Courthill Street, Dalry, North Ayrshire",F,Jacob,Hogg,SLOT DEALER,Chloe,Webber,,23,DECEMBER,1775,"Dalry North Ayrshire",,SYNTHETIC DATA PRODUCED USING VALIPOP,6344,6344,3802,3813,6344,1207,3813,3802,1685,2451,,,,,,,NA
6364,1293,1293,Sarah,Christie,3,JANUARY,1782,"5 Leideag, Na h-Eileanan Siar",F,Daniel,Christie,ENGINEER,Jaimini,Webb,CANVAS WEAVER,27,DECEMBER,1781,"Na h-Eileanan Siar",,SYNTHETIC DATA PRODUCED USING VALIPOP,6364,6364,4058,4223,6364,1293,4223,4058,1793,,,,,,,,NA
6378,1295,1295,Sophie,Haig,28,OCTOBER,1782,"7 Balgibbon Drive, Braeleny Farm, Callander",F,Samuel,Haig,PLUMBER,Carrie-ann,Wilson,DOMESTIC SERVANT,24,SEPTEMBER,1779,"Braeleny Farm Callander ",,SYNTHETIC DATA PRODUCED USING VALIPOP,6378,6378,4380,4585,6378,1295,4585,4380,1684,,,,,,,,NA
6394,1199,1199,Amy,Howie,11,JANUARY,1782,"3 Strand Court, Auchterarder, Perth and Kinross",F,Corey,Howie,CLERK (BUILDERS,Rebecca,Mccluskey,DOMESTIC SERV,19,JANUARY,1777,"Auchterarder Perth and Kinross",,SYNTHETIC DATA PRODUCED USING VALIPOP,6394,6394,4594,4347,6394,1199,4347,4594,1792,,,,,,,,NA
6476,1300,1300,Sumayah,Hay,7,MARCH,1783,"1 Wingate Avenue, Dalry, North Ayrshire",F,Elliott,Hay,CLERK IN GRAIN STORE,Chloe,Patterson,HOUSE SERV,19,MAY,1780,"Dalry North Ayrshire",,SYNTHETIC DATA PRODUCED USING VALIPOP,6476,6476,4536,4575,6476,1300,4575,4536,1837,,,,,,,,NA
6422,1001,1001,Louisa,Mcdowall,9,SEPTEMBER,1783,"3 Robertson Way, Braeleny Farm, Stirling",F,Clayton,Mcdowall,GAS BURNER MAKER,Shanice,Amos,DOM SERV,24,AUGUST,1764,"Braeleny Farm Stirling",,SYNTHETIC DATA PRODUCED USING VALIPOP,6422,6422,3598,3437,6422,1001,3437,3598,1859,,,,,,,,NA
6492,1331,1331,Lucy,Malik,10,MAY,1783,"3 Strath View, Highland",F,Micheal,Malik,COOPER,Bethany,Burns,GENERAL SERV,18,AUGUST,1779,"Highland",,SYNTHETIC DATA PRODUCED USING VALIPOP,6492,6492,4764,4421,6492,1331,4421,4764,1939,,,,,,,,NA
6494,1333,1333,Keeley,Kelman,10,DECEMBER,1783,"46 Chalmers Court, Three Bridges, Inveraray",F,Anthony,Kelman,APP CARPENTER,Natasha,Wright,FARM SERVANT,12,JANUARY,1780,"Three Bridges Inveraray ",,SYNTHETIC DATA PRODUCED USING VALIPOP,6494,6494,4754,4145,6494,1333,4145,4754,1937,,,,,,,,NA
6496,1334,1334,Harley,Brown,1,AUGUST,1783,"1 Rhudal Cottages, Argyll and Bute",F,Jake,Brown,LINEN DAMASK WEAVER,Jennifer,Brown,DOMESTIC SERV,26,MARCH,1783,"Argyll and Bute",,SYNTHETIC DATA PRODUCED USING VALIPOP,6496,6496,4776,3737,6496,1334,3737,4776,1858,2216,,,,,,,NA
6440,1285,1285,Megan,Browning,20,DECEMBER,1783,"1 Dales View Drive, Meethill, Peterhead",F,Joshua,Browning,SHEPHERD,Tayla,Cooney,STOCKING KNITTER,18,FEBRUARY,1782,"Meethill Peterhead ",,SYNTHETIC DATA PRODUCED USING VALIPOP,6440,6440,3870,3623,6440,1285,3623,3870,1938,,,,,,,,NA
6470,1113,1113,Gemma,Robinson,19,SEPTEMBER,1783,"1 Glebe Crescent, Maybole, South Ayrshire",F,Shaun,Robinson,COTTON FACTORY CLERK,Abby,Innes,SERVANT,4,APRIL,1774,,,SYNTHETIC DATA PRODUCED USING VALIPOP,6470,6470,4386,4117,6470,1113,4117,4386,1710,,,,,,,,NA
6498,1239,1239,Emily,Mccormick,27,MAY,1783,"3 Lubnaig Drive, Drumardoch Farm, Callander",F,Charlie,Mccormick,SHEETING P LOOM WEAVER,Megan,Turner,DOMESTIC SERVT,3,MARCH,1778,"Drumardoch Farm Callander ",,SYNTHETIC DATA PRODUCED USING VALIPOP,6498,6498,4740,4451,6498,1239,4451,4740,1857,,,,,,,,NA
