ID,forename(s) of deceased,surname of deceased,occupation,marital status,sex,name of spouse,spouse's occ,day,month,year,address,age at death,father's forename,father's surname,father's occupation,if father deceased,mother's forename,mother's maiden surname,mother's occupation,if mother deceased,death code A,death code B,death code C,notes1,Birth,mar,DECEASED_IDENTITY,MOTHER_IDENTITY,FATHER_IDENTITY,SPOUSE_IDENTITY,BIRTH_RECORD_IDENTITY,PARENT_MARRIAGE_RECORD_IDENTITY,FATHER_BIRTH_RECORD_IDENTITY,MOTHER_BIRTH_RECORD_IDENTITY,SPOUSE_MARRIAGE_RECORD_IDENTITY,SPOUSE_BIRTH_RECORD_IDENTITY,IMMIGRANT_GENERATION
5602,Eleanor,Waugh,TENANT,W,F,Ayden Doig,AGRICULTURAL LABOURER,25,AUGUST,1865,"1 Byron Court, Kirkfield, Bothwell",92,Paul,Waugh,,D,Saffron,Murray,,D,R54.05,,,SYNTHETIC DATA PRODUCED USING VALIPOP,5602,1608,5602,3298,3381,5487,5602,954,3381,3298,1608,5487,NA
5642,Amy,Campbell,PAUPER (LAB WID),W,F,Joel Hutcheson,WEAVER OF SILK WOOL,29,JULY,1865,"169 Skua Drive, Dalgety Bay, Fife",92,Alex,Campbell,,D,Eden,Whiteford,,D,R99.01,,,SYNTHETIC DATA PRODUCED USING VALIPOP,5642,1609,5642,3878,3099,5549,5642,1109,3099,3878,1609,5549,NA
5686,Emily,Pollock,OCCUPIER OF LAND,W,F,Joshua Mcguire,LABOURER,16,MARCH,1855,"1 Ecclesgreig Gardens, Aberdeenshire",80,George,Pollock,,D,Kenna,Jordan,,D,R53.03,R54.05,,SYNTHETIC DATA PRODUCED USING VALIPOP,5686,1655,5686,3104,3047,5911,5686,913,3047,3104,1655,5911,NA
5690,Samantha,Aitkenhead,,W,F,Kaylan Wood,MASTER GROCER & SHIP CHANDLER EMPLOYING ONE BOY,30,JANUARY,1855,"1 Kinloch Road, Waterside, Aberdeenshire",80,Ryan,Aitkenhead,,D,Aine,Millar,,D,R53.03,R54.05,,SYNTHETIC DATA PRODUCED USING VALIPOP,5690,1845,5690,3090,2823,5285,5690,912,2823,3090,1845,5285,NA
5728,Syeda,Hart,FARMER'S WIFE,W,F,Joshua Mcguire,HOUSE CARPENTER,7,JUNE,1855,"1 Modley Court, Ellon, Aberdeenshire",81,Henry,Hart,,D,Rebekka,Malik,,D,J42.00,,,SYNTHETIC DATA PRODUCED USING VALIPOP,5728,1566,5728,3910,3587,5825,5728,1130,3587,3910,1566,5825,NA
5768,Shannon,Johnstone,PAUPER,W,F,Benjamin Ross,COOPER,22,AUGUST,1857,"3 Hillside Terrace, Croc, North Ayrshire",81,Carl,Johnstone,,D,Georgia,Currie,,D,J11.10,,,SYNTHETIC DATA PRODUCED USING VALIPOP,5768,1749,5768,3392,2907,5489,5768,999,2907,3392,1749,5489,NA
5782,Elizabeth,Gowans,PAUPER (DOMESTIC SERV),W,F,Matthew Ferguson,CHEALSEA PENSIONER,2,MAY,1858,"1 Richmond Avenue, Coplandhill, Aberdeenshire",82,Joseph,Gowans,,D,Maria,Waugh,,D,R99.01,,,SYNTHETIC DATA PRODUCED USING VALIPOP,5782,1729,5782,3500,2977,4771,5782,863,2977,3500,1729,4771,NA
5808,Sophie,Hassan,KNITTER OF STOCKINGS,W,F,Joshua Spiers,AGRICULTURAL LABOURER,4,JUNE,1859,"2 Mallard Road, Aberdeenshire",84,Michael,Hassan,,D,Charlotte,Kerr,,D,I51.90,,,SYNTHETIC DATA PRODUCED USING VALIPOP,5808,1636,5808,3872,3375,5145,5808,1143,3375,3872,1636,5145,NA
5754,Emma,Sutherland,,W,F,Ebrahim Watson,BOAT CARPENTER,17,JANUARY,1859,"1 Keir Rise, Aberdeenshire",83,Benjamin,Sutherland,,D,Kirsty,Murray,,D,R99.01,,,SYNTHETIC DATA PRODUCED USING VALIPOP,5754,1870,5754,3046,2713,5629,5754,818,2713,3046,1870,5629,NA
5818,Carla,Hart,TENNANTS WIFE,W,F,Dominic Mowbray,GARDENER,30,DECEMBER,1859,"95 The Green, East Lothian",84,Henry,Hart,,D,Rebekka,Malik,,D,R54.05,,,SYNTHETIC DATA PRODUCED USING VALIPOP,5818,1592,5818,3910,3587,5001,5818,1130,3587,3910,1592,5001,NA
5814,Georgia,Keddie,,W,F,Daniel Hart,CARPENTER & FARMER OF 7 ACRES,11,DECEMBER,1861,"10 Balgibbon Drive, Braeleny Farm, Callander",86,Kieran,Keddie,,D,Tayla,Cooney,,D,R54.05,,,SYNTHETIC DATA PRODUCED USING VALIPOP,5814,1958,5814,3870,3691,6443,5814,1028,3691,3870,1958,6443,NA
5762,Samya,Brown,PLOUGHMAN'S WIDOW,D,F,Sean Leishman,OUT DOOR LAB,3,SEPTEMBER,1861,"1 The Meadows, Kilwinning, North Ayrshire",85,Oliver,Brown,,D,Katie,Mcclure,,D,I64.01,,,SYNTHETIC DATA PRODUCED USING VALIPOP,5762,2159,5762,3212,2133,7273,5762,882,2133,3212,2159,7273,NA
5772,Cherie,Malik,SELF SUPPORTING,W,F,Alfred Paterson,SHOEMAKER,22,MAY,1862,"1 Burnside Crescent, Clackmannan, Clackmannanshire",87,Henry,Malik,,D,Danielle,Fell,,D,R53.03,,,SYNTHETIC DATA PRODUCED USING VALIPOP,5772,1900,5772,3378,3391,5635,5772,996,3391,3378,1900,5635,NA
6020,Paige,Smith,PAUPER,W,F,Samuel Macphail,FARMER OF 36 ACRES ARABLE LAND,11,AUGUST,1856,"7 The Green, Swinton Dene, Scottish Borders",78,Matthew,Smith,,D,Carrie,Hawthorne,,D,M79.00,,,SYNTHETIC DATA PRODUCED USING VALIPOP,6020,1615,6020,3280,3149,5413,6020,861,3149,3280,1615,5413,NA
6036,Asha,Webster,,W,F,Aaron Gillespie,GRAIN MILL MANAGER,27,NOVEMBER,1856,"1 Blackpark View, Stranraer, Dumfries and Galloway",78,Sebastian,Webster,,D,Emily,Scott,,D,R99.01,,,SYNTHETIC DATA PRODUCED USING VALIPOP,6036,1734,6036,3646,3063,5491,6036,1049,3063,3646,1734,5491,NA
6052,Scarlett,Webb,PAUPER FORY GENL SERVT,W,F,Thomas Anderson,TAILOR,11,MAY,1856,"7 Monamore Place, Croc, North Ayrshire",77,Benjamin,Webb,,D,Clare,Sproat,,D,R68.85,,,SYNTHETIC DATA PRODUCED USING VALIPOP,6052,1829,6052,3934,3653,5385,6052,1083,3653,3934,1829,5385,NA
6058,Charlotte,Taylor,PROPRIETOR OF HOUSES,W,F,William Campbell,QUARRYMAN,8,MAY,1856,"1 Townend Lane, Dalry, North Ayrshire",78,Reece,Taylor,,D,Bethany,Murray,,D,R54.05,,,SYNTHETIC DATA PRODUCED USING VALIPOP,6058,1782,6058,4094,3945,5131,6058,1216,3945,4094,1782,5131,NA
6066,Hannah,O'donnell,,W,F,Macauley Jordan,LABOURER,4,APRIL,1858,"1589 Castle Road, South Ayrshire",79,Arslaan,O'donnell,,D,Lucy,Smith,,D,R54.05,,,SYNTHETIC DATA PRODUCED USING VALIPOP,6066,1735,6066,4300,4073,5083,6066,1219,4073,4300,1735,5083,NA
6040,Alice,Davidson,,W,F,Samuel Macphail,CHELSEA PENSIONER,27,OCTOBER,1864,"113 Pipeland Road, Northbank Farm Steadings, St Andrews",86,Nathan,Davidson,,D,Bethany,Kelman,,D,R54.02,,,SYNTHETIC DATA PRODUCED USING VALIPOP,6040,1733,6040,3806,3807,5977,6040,1161,3807,3806,1733,5977,NA
6056,Ellesha,Brown,FUND HOLDER,R,F,Imran Howie,TEACHER (SUPERANUATED),24,JULY,1864,"1 Turin Way, Aberdeenshire",86,Charlie,Brown,,D,Eleanor,Macphail,,D,R54.00,,,SYNTHETIC DATA PRODUCED USING VALIPOP,6056,1805,6056,4074,4009,6145,6056,1214,4009,4074,1805,6145,NA
6024,Alice,Macfarlane,COTTON WINDER,W,F,Corey Murray,CROFTER,23,MAY,1867,"11 Balgibbon Drive, Braeleny Farm, Callander",88,Jack,Macfarlane,,D,Vanessa,Dalgarno,,D,J42.00,I51.90,,SYNTHETIC DATA PRODUCED USING VALIPOP,6024,1707,6024,3506,3033,5979,6024,961,3033,3506,1707,5979,NA
6028,Abigail,Cooney,COLLIERY MANAGERS WIFE,W,F,Ronan Whiteford,FARMSTEWARD,22,FEBRUARY,1867,"1 Adams Loan, Bainsford, Falkirk",88,Jamie,Cooney,,D,Olivia,Davies,,D,J18.90,,,SYNTHETIC DATA PRODUCED USING VALIPOP,6028,1661,6028,3588,3457,4363,6028,,3457,3588,1661,4363,NA
6130,Venessa,Beaton,,W,F,Andrew Kelman,TAILOR CLOTHIER EMPLOYING 1 MAN,15,MARCH,1862,"1 Lauder Road, Kirkton, Angus",82,Josh,Beaton,,D,Syed,Brand,,D,I64.01,,,SYNTHETIC DATA PRODUCED USING VALIPOP,6130,1926,6130,4228,4513,5693,6130,1230,4513,4228,1926,5693,NA
6100,Louise,Watson,,W,F,Curtis Petrie,CALICO PRINTER,6,OCTOBER,1867,"2 Duthie Gardens, Coplandhill, Aberdeenshire",88,James,Watson,,D,Hayley,Rimmer,,D,R99.01,,,SYNTHETIC DATA PRODUCED USING VALIPOP,6100,2100,6100,3582,3399,7451,6100,1021,3399,3582,2100,7451,NA
6098,Shaney,Hutcheson,TENNANTS WIFE,W,F,Cody Main,RAILWAY TIMEKEEPER,3,MAY,1868,"1 Yorke Road, Troon, South Ayrshire",88,Richard,Hutcheson,,D,Hannah,Murphy,,D,K56.60,,,SYNTHETIC DATA PRODUCED USING VALIPOP,6098,1785,6098,3594,3489,6293,6098,1020,3489,3594,1785,6293,NA
6178,Katie,Holmes,,W,F,George Smith,SUPERINTENDT OF FORE ENGINE,27,MARCH,1855,"1 Mallard Road, Aberdeenshire",74,Jamie,Holmes,,D,Vanessa,Dalgarno,,D,M79.00,,,SYNTHETIC DATA PRODUCED USING VALIPOP,6178,1812,6178,3506,4077,5539,6178,1241,4077,3506,1812,5539,NA
6182,Sophie,Bond,,W,F,Henry Spiers,FARMER OF 12 ACRES,2,JUNE,1855,"1 Henderson Place, Alva, Clackmannanshire",75,Callum,Bond,,D,Alexandra,Davidson,,D,A16.96,,,SYNTHETIC DATA PRODUCED USING VALIPOP,6182,2102,6182,3658,3709,6117,6182,1242,3709,3658,2102,6117,NA
6186,Susanna,Webster,FLAX DRESSER,W,F,Luke Little,FISHERMAN,21,OCTOBER,1855,"1 High Park Avenue, Stranraer, Dumfries and Galloway",75,Sebastian,Webster,,D,Emily,Scott,,D,R60.91,,,SYNTHETIC DATA PRODUCED USING VALIPOP,6186,1830,6186,3646,3063,6205,6186,1049,3063,3646,1830,6205,NA
6226,Charlotte,Fraser,,W,F,Jamie Porter,TIN SMITH,5,NOVEMBER,1858,"2 Anderson Street, Westport, Arbroath",77,Jack,Fraser,,D,Emily,Perry,,D,R99.01,,,SYNTHETIC DATA PRODUCED USING VALIPOP,6226,1808,6226,4524,4127,6305,6226,1258,4127,4524,1808,6305,NA
6220,Sioned,Dalgarno,,W,F,Joshua Bull,,30,NOVEMBER,1858,"3 Arranton Place, Croc, North Ayrshire",78,Kieron,Dalgarno,,D,Samantha,Brown,,D,A16.96,,,SYNTHETIC DATA PRODUCED USING VALIPOP,6220,1909,6220,4276,3849,6197,6220,1253,3849,4276,1909,6197,NA
6192,Charlotte,Porter,FUND HOLDER,W,F,Eden Macphail,COW FEEDER,9,JANUARY,1859,"104 The Glebe, Allanbank, Lauder",78,Steven,Porter,,D,Skye,Hutcheson,,D,C50.90,,,SYNTHETIC DATA PRODUCED USING VALIPOP,6192,1810,6192,3694,4025,5817,6192,1079,4025,3694,1810,5817,NA
6222,Isabelle,Mcguire,WASHER WOMAN,W,F,Brogan Hogarth,TAILOR,4,NOVEMBER,1861,"152 West Cathcart Street, Buckie, Moray",81,Regan,Mcguire,,D,Melissa,Jamieson,,D,R53.03,R54.05,R60.11,SYNTHETIC DATA PRODUCED USING VALIPOP,6222,1877,6222,4342,3867,6191,6222,1114,3867,4342,1877,6191,NA
6210,Lucy,Laing,STOCKING KNITTER,W,F,Sachin Fell,COMMON LABOURER,14,SEPTEMBER,1861,"1 Slessor Drive, Kincorth, Aberdeen City",81,Spencer,Laing,,D,Rebecca,Webber,,D,R54.05,,,SYNTHETIC DATA PRODUCED USING VALIPOP,6210,1807,6210,4072,3997,6039,6210,1217,3997,4072,1807,6039,NA
6196,Julia,Murray,FORMERLY A GRIEVES WIFE,W,F,William Johnson,AG LAB,1,JANUARY,1863,"40 Raonmor, Highland",82,Benjamin,Murray,,D,Charley,Reid,,D,R53.03,,,SYNTHETIC DATA PRODUCED USING VALIPOP,6196,1851,6196,3814,3485,6485,6196,979,3485,3814,1851,6485,NA
6284,Natalie,Mackenzie,PAUPER FORMERLY DOMESTIC SERV,M,F,Christopher Neilson,TAILOR,25,DECEMBER,1859,"3 Castle Road, Genoch Farm, South Ayrshire",78,Mohammed,Mackenzie,,D,Katherine,Ramsay,,D,R54.05,,,SYNTHETIC DATA PRODUCED USING VALIPOP,6284,1789,6284,3994,4285,5985,6284,1193,4285,3994,1789,5985,NA
6296,Suzannah,Fleming,,W,F,Paul Smith,FARMER OF 22 ACRES EMPLOYING 2 SERVANTS,5,OCTOBER,1860,"1 St Cuthberts Court, Wilton, Hawick",79,Babajide,Fleming,,D,Sadiyya,Smith,,D,Y34.01,,,SYNTHETIC DATA PRODUCED USING VALIPOP,6296,1791,6296,4162,2897,5073,6296,1053,2897,4162,1791,5073,NA
6300,Ayomide,Hay,,W,F,Guillaume Wilson,CROFTER 2 AC,5,JANUARY,1860,"1 Darley Place, Troon, South Ayrshire",78,Dominic,Hay,,D,Chelsea,Breen,,D,R54.05,,,SYNTHETIC DATA PRODUCED USING VALIPOP,6300,1759,6300,4224,4079,6065,6300,1150,4079,4224,1759,6065,NA
6302,Danni,Mcshane,BLEACHER'S WIFE,W,F,Inaam Davidson,SAILOR,21,JULY,1860,"6 Crosbie Road, Troon, South Ayrshire",78,Mohsan,Mcshane,,D,Kelsey,Breen,,D,A09.03,,,SYNTHETIC DATA PRODUCED USING VALIPOP,6302,2052,6302,4274,4091,5823,6302,1235,4091,4274,2052,5823,NA
6304,Imogen,Stuart,FARMERS WIDOW,W,F,Alex Ramsay,COTTON WEAVER,19,JANUARY,1862,"1 Stinchar Road, South Ayrshire",80,Vincent,Stuart,,D,Rochelle,Mclaren,,D,R99.01,,,SYNTHETIC DATA PRODUCED USING VALIPOP,6304,1852,6304,4282,4283,6369,6304,1233,4283,4282,1852,6369,NA
6310,Lisa,Johnson,,W,F,Tahmid Jackson,AG LAB,13,JANUARY,1865,"1 Gallowhill Road, Broadsea, Fraserburgh",83,Karl,Johnson,,D,Natalie,Burns,,D,R99.01,,,SYNTHETIC DATA PRODUCED USING VALIPOP,6310,2359,6310,4530,4083,5695,6310,1259,4083,4530,2359,5695,NA
6314,Rebecca,Howie,INN KEEPER,W,F,Liam Jordan,FARMER OF 4 ACRES & AG LAB,31,MAY,1868,"4 Priory Crescent, Warddykes, Arbroath",87,Corey,Howie,,D,Rebecca,Mccluskey,,D,R53.03,R54.05,,SYNTHETIC DATA PRODUCED USING VALIPOP,6314,1881,6314,4594,4347,5157,6314,1199,4347,4594,1881,5157,NA
6288,Tamara,Davies,HOUSE PROPRIETORS WIFE,W,F,Rian Mackenzie,MASON,18,MARCH,1870,"1 Murray Crescent, Croc, North Ayrshire",88,Harry,Davies,,D,Jodie,Brand,,D,R99.01,,,SYNTHETIC DATA PRODUCED USING VALIPOP,6288,1961,6288,4084,3323,6449,6288,1270,3323,4084,1961,6449,NA
6294,Sarah,Ramsay,FORMERLY FARMER'S WIFE,W,F,Ciaran Clow,COTTON WEAVER,2,DECEMBER,1870,"7 Hartrigge Crescent, Scaurs, Scottish Borders",89,Daniel,Ramsay,,D,Briana,Edwards,,D,R54.05,,,SYNTHETIC DATA PRODUCED USING VALIPOP,6294,1831,6294,4168,3993,6481,6294,1272,3993,4168,1831,6481,NA
6282,Rebekah,Davies,FARMERS WIFE,W,F,Jake Anderson,CATTLEMAN,30,SEPTEMBER,1874,"1 Snipe Street, Ellon, Aberdeenshire",93,Jamie,Davies,,D,Jordan,Currie,,D,I64.01,,,SYNTHETIC DATA PRODUCED USING VALIPOP,6282,2239,6282,3916,3517,6653,6282,1084,3517,3916,2239,6653,NA
6390,Paige,Ramsay,KEEPER OF LODGING HOUSE,W,F,James Mcintosh,STOCKING WEAVER,15,JULY,1859,"4 Castle Road, Genoch Farm, South Ayrshire",77,Ross,Ramsay,,D,Billie-jo,Wood,,D,R54.05,,,SYNTHETIC DATA PRODUCED USING VALIPOP,6390,1935,6390,4492,3861,5719,6390,1305,3861,4492,1935,5719,NA
6352,Mariah,Aitchison,PAUPER (WIDOW OF A LABOURER),M,F,James Wilson,WOLLEN WEAVER,8,DECEMBER,1862,"1 Aird Mhor, Highland",79,Shaun,Aitchison,,D,Alexia,Holmes,,D,N03.90,C50.90,,SYNTHETIC DATA PRODUCED USING VALIPOP,6352,1929,6352,3876,3385,6389,6352,1068,3385,3876,1929,6389,NA
6344,Amelia,Hogg,PAUPER (WASHERWOMAN),W,F,Keenan Millar,FARMER OF 3 ACRES,21,SEPTEMBER,1862,"4 Quoybrae, Orkney Islands",80,Jacob,Hogg,,D,Chloe,Webber,,D,J42.00,,,SYNTHETIC DATA PRODUCED USING VALIPOP,6344,2451,6344,3802,3813,6047,6344,1207,3813,3802,2451,6047,NA
6364,Sarah,Christie,,W,F,Luke Johnson,BOOK DEALER,10,MARCH,1863,"39 Raonmor, Highland",81,Daniel,Christie,,D,Jaimini,Webb,,D,R54.05,R53.03,,SYNTHETIC DATA PRODUCED USING VALIPOP,6364,1793,6364,4058,4223,6227,6364,1293,4223,4058,1793,6227,NA
6378,Sophie,Haig,SHIP CAPT'S WIDOW,W,F,Craig Mcguire,PORTER'S LODGE KEEPER,28,MAY,1863,"3 Knockhall Road, Aberdeenshire",80,Samuel,Haig,,D,Carrie-ann,Wilson,,D,I64.01,,,SYNTHETIC DATA PRODUCED USING VALIPOP,6378,1684,6378,4380,4585,6377,6378,1295,4585,4380,1684,6377,NA
6394,Amy,Howie,,W,F,Luke Bull,SHEPHERD,17,JANUARY,1863,"1 Linefield Road, Craigmill, Angus",81,Corey,Howie,,D,Rebecca,Mccluskey,,D,R54.05,,,SYNTHETIC DATA PRODUCED USING VALIPOP,6394,1792,6394,4594,4347,6041,6394,1199,4347,4594,1792,6041,NA
6476,Sumayah,Hay,YARN WINDER,M,F,Adam Amos,PROPRIETOR OF HOUSES,16,NOVEMBER,1855,"66 Honeyfield Drive, Scaurs, Jedburgh",72,Elliott,Hay,,D,Chloe,Patterson,,D,J42.00,,,SYNTHETIC DATA PRODUCED USING VALIPOP,6476,1837,6476,4536,4575,5987,6476,1300,4575,4536,1837,5987,NA
6422,Louisa,Mcdowall,,W,F,Muhammad Webster,AGRICULTURAL LABOURER,13,FEBRUARY,1855,"3 Priory Crescent, Warddykes, Arbroath",71,Clayton,Mcdowall,,D,Shanice,Amos,,D,B54.01,,,SYNTHETIC DATA PRODUCED USING VALIPOP,6422,1859,6422,3598,3437,5687,6422,1001,3437,3598,1859,5687,NA
6492,Lucy,Malik,SERVANT DOM,W,F,Ewan Leishman,COAL MINER,31,MAY,1855,"1 St Michaels Walk, Aberdeenshire",72,Micheal,Malik,,D,Bethany,Burns,,D,A09.02,,,SYNTHETIC DATA PRODUCED USING VALIPOP,6492,1939,6492,4764,4421,6057,6492,1331,4421,4764,1939,6057,NA
6494,Keeley,Kelman,OUT DOOR LAB,M,F,Jeffrey Smith,WOOLLEN WEAVER,22,SEPTEMBER,1858,"1 Tortorston Drive, Coplandhill, Aberdeenshire",74,Anthony,Kelman,,D,Natasha,Wright,,D,J81.01,,,SYNTHETIC DATA PRODUCED USING VALIPOP,6494,1937,6494,4754,4145,6839,6494,1333,4145,4754,1937,6839,NA
6496,Harley,Brown,YARN WINDER,W,F,James Tariq,TEACHER,19,SEPTEMBER,1864,"45 Chalmers Court, Three Bridges, Inveraray",81,Jake,Brown,,D,Jennifer,Brown,,D,R54.05,,,SYNTHETIC DATA PRODUCED USING VALIPOP,6496,2216,6496,4776,3737,5725,6496,1334,3737,4776,2216,5725,NA
6440,Megan,Browning,FRUIT SELLER,W,F,Samuel Davies,COACHMAN DOMESTIC SERVANT,1,OCTOBER,1864,"42 Ard Struan Road, Highland",80,Joshua,Browning,,D,Tayla,Cooney,,D,R54.05,,,SYNTHETIC DATA PRODUCED USING VALIPOP,6440,1938,6440,3870,3623,6563,6440,1285,3623,3870,1938,6563,NA
6470,Gemma,Robinson,,W,F,Jordan Keir,STONE QUARRIER,5,OCTOBER,1864,"2 Curfew Place, South Lanarkshire",81,Shaun,Robinson,,D,Abby,Innes,,D,I38.01,,,SYNTHETIC DATA PRODUCED USING VALIPOP,6470,1710,6470,4386,4117,5495,6470,1113,4117,4386,1710,5495,NA
6498,Emily,Mccormick,PAUPER,W,F,Marc Wilson,AG LAB,29,JULY,1865,"1 Rathad na Horgh, Na h-Eileanan Siar",82,Charlie,Mccormick,,D,Megan,Turner,,D,R54.01,L89.90,,SYNTHETIC DATA PRODUCED USING VALIPOP,6498,1857,6498,4740,4451,6479,6498,1239,4451,4740,1857,6479,NA
6432,Jade,Bull,,W,F,Thomas Burns,RAILWAY PORTER,6,SEPTEMBER,1865,"6 Ceann An Ora, Na h-Eileanan Siar",82,Jay,Bull,,D,Victoria,Brown,,D,R54.05,,,SYNTHETIC DATA PRODUCED USING VALIPOP,6432,2000,6432,3804,3515,6559,6432,1050,3515,3804,2000,6559,NA
